plot,Date,Recorder,Observer,Quadrant,Zone,Litt.depth,month,conmod,disturbed,seeded,wateredJul2012 
601,10/26/14,SM,SF,N,Inner,2,10,Fence,TRUE,TRUE,FALSE
601,10/26/14,SM,SF,N,Outer,0.5,10,Fence,TRUE,TRUE,FALSE
601,10/26/14,SM,SF,E,Inner,0.1,10,Fence,TRUE,TRUE,FALSE
601,10/26/14,SM,SF,E,Outer,0.1,10,Fence,TRUE,TRUE,FALSE
601,10/26/14,SM,SF,S,Inner,1,10,Fence,TRUE,TRUE,FALSE
601,10/26/14,SM,SF,S,Outer,0.5,10,Fence,TRUE,TRUE,FALSE
601,10/26/14,SM,SF,W,Inner,2.5,10,Fence,TRUE,TRUE,FALSE
601,10/26/14,SM,SF,W,Outer,1,10,Fence,TRUE,TRUE,FALSE
601,6/18/14,CD,HR,N,Inner,6,6,Fence,TRUE,TRUE,FALSE
601,6/18/14,CD,HR,N,Outer,1,6,Fence,TRUE,TRUE,FALSE
601,6/18/14,CD,HR,E,Inner,0.5,6,Fence,TRUE,TRUE,FALSE
601,6/18/14,CD,HR,E,Outer,0,6,Fence,TRUE,TRUE,FALSE
601,6/18/14,CD,HR,S,Inner,4,6,Fence,TRUE,TRUE,FALSE
601,6/18/14,CD,HR,S,Outer,0,6,Fence,TRUE,TRUE,FALSE
601,6/18/14,CD,HR,W,Inner,6,6,Fence,TRUE,TRUE,FALSE
601,6/18/14,CD,HR,W,Outer,3,6,Fence,TRUE,TRUE,FALSE
602,10/26/14,SM,SF,N,Inner,0,10,Bare,FALSE,FALSE,FALSE
602,10/26/14,SM,SF,N,Outer,0,10,Bare,FALSE,FALSE,FALSE
602,10/26/14,SM,SF,E,Inner,0,10,Bare,FALSE,FALSE,FALSE
602,10/26/14,SM,SF,E,Outer,0,10,Bare,FALSE,FALSE,FALSE
602,10/26/14,SM,SF,S,Inner,0,10,Bare,FALSE,FALSE,FALSE
602,10/26/14,SM,SF,S,Outer,0,10,Bare,FALSE,FALSE,FALSE
602,10/26/14,SM,SF,W,Inner,0,10,Bare,FALSE,FALSE,FALSE
602,10/26/14,SM,SF,W,Outer,0,10,Bare,FALSE,FALSE,FALSE
602,6/18/14,CD,HR,N,Inner,0,6,Bare,FALSE,FALSE,FALSE
602,6/18/14,CD,HR,N,Outer,0,6,Bare,FALSE,FALSE,FALSE
602,6/18/14,CD,HR,E,Inner,0,6,Bare,FALSE,FALSE,FALSE
602,6/18/14,CD,HR,E,Outer,0,6,Bare,FALSE,FALSE,FALSE
602,6/18/14,CD,HR,S,Inner,0,6,Bare,FALSE,FALSE,FALSE
602,6/18/14,CD,HR,S,Outer,0,6,Bare,FALSE,FALSE,FALSE
602,6/18/14,CD,HR,W,Inner,0,6,Bare,FALSE,FALSE,FALSE
602,6/18/14,CD,HR,W,Outer,0,6,Bare,FALSE,FALSE,FALSE
603,10/26/14,SM,SF,N,Inner,1.5,10,Fence,FALSE,FALSE,TRUE
603,10/26/14,SM,SF,N,Outer,1,10,Fence,FALSE,FALSE,TRUE
603,10/26/14,SM,SF,E,Inner,0.1,10,Fence,FALSE,FALSE,TRUE
603,10/26/14,SM,SF,E,Outer,0,10,Fence,FALSE,FALSE,TRUE
603,10/26/14,SM,SF,S,Inner,1,10,Fence,FALSE,FALSE,TRUE
603,10/26/14,SM,SF,S,Outer,0.1,10,Fence,FALSE,FALSE,TRUE
603,10/26/14,SM,SF,W,Inner,2,10,Fence,FALSE,FALSE,TRUE
603,10/26/14,SM,SF,W,Outer,2,10,Fence,FALSE,FALSE,TRUE
603,6/18/14,CD,HR,N,Inner,6,6,Fence,FALSE,FALSE,TRUE
603,6/18/14,CD,HR,N,Outer,2,6,Fence,FALSE,FALSE,TRUE
603,6/18/14,CD,HR,E,Inner,2,6,Fence,FALSE,FALSE,TRUE
603,6/18/14,CD,HR,E,Outer,0.5,6,Fence,FALSE,FALSE,TRUE
603,6/18/14,CD,HR,S,Inner,2,6,Fence,FALSE,FALSE,TRUE
603,6/18/14,CD,HR,S,Outer,0.5,6,Fence,FALSE,FALSE,TRUE
603,6/18/14,CD,HR,W,Inner,12,6,Fence,FALSE,FALSE,TRUE
603,6/18/14,CD,HR,W,Outer,4,6,Fence,FALSE,FALSE,TRUE
604,10/26/14,SM,SF,N,Inner,0,10,Bare,TRUE,TRUE,FALSE
604,10/26/14,SM,SF,N,Outer,0,10,Bare,TRUE,TRUE,FALSE
604,10/26/14,SM,SF,E,Inner,0,10,Bare,TRUE,TRUE,FALSE
604,10/26/14,SM,SF,E,Outer,0.1,10,Bare,TRUE,TRUE,FALSE
604,10/26/14,SM,SF,S,Inner,0,10,Bare,TRUE,TRUE,FALSE
604,10/26/14,SM,SF,S,Outer,0,10,Bare,TRUE,TRUE,FALSE
604,10/26/14,SM,SF,W,Inner,0,10,Bare,TRUE,TRUE,FALSE
604,10/26/14,SM,SF,W,Outer,0,10,Bare,TRUE,TRUE,FALSE
604,6/18/14,CD,HR,N,Inner,0,6,Bare,TRUE,TRUE,FALSE
604,6/18/14,CD,HR,N,Outer,0,6,Bare,TRUE,TRUE,FALSE
604,6/18/14,CD,HR,E,Inner,0,6,Bare,TRUE,TRUE,FALSE
604,6/18/14,CD,HR,E,Outer,0,6,Bare,TRUE,TRUE,FALSE
604,6/18/14,CD,HR,S,Inner,0,6,Bare,TRUE,TRUE,FALSE
604,6/18/14,CD,HR,S,Outer,0,6,Bare,TRUE,TRUE,FALSE
604,6/18/14,CD,HR,W,Inner,0,6,Bare,TRUE,TRUE,FALSE
604,6/18/14,CD,HR,W,Outer,0,6,Bare,TRUE,TRUE,FALSE
605,10/26/14,SM,SF,N,Inner,0,10,Bare,TRUE,FALSE,FALSE
605,10/26/14,SM,SF,N,Outer,0.1,10,Bare,TRUE,FALSE,FALSE
605,10/26/14,SM,SF,E,Inner,0,10,Bare,TRUE,FALSE,FALSE
605,10/26/14,SM,SF,E,Outer,0.1,10,Bare,TRUE,FALSE,FALSE
605,10/26/14,SM,SF,S,Inner,0,10,Bare,TRUE,FALSE,FALSE
605,10/26/14,SM,SF,S,Outer,0,10,Bare,TRUE,FALSE,FALSE
605,10/26/14,SM,SF,W,Inner,0,10,Bare,TRUE,FALSE,FALSE
605,10/26/14,SM,SF,W,Outer,0.1,10,Bare,TRUE,FALSE,FALSE
605,6/18/14,CD,HR,N,Inner,0,6,Bare,TRUE,FALSE,FALSE
605,6/18/14,CD,HR,N,Outer,0,6,Bare,TRUE,FALSE,FALSE
605,6/18/14,CD,HR,E,Inner,0,6,Bare,TRUE,FALSE,FALSE
605,6/18/14,CD,HR,E,Outer,0,6,Bare,TRUE,FALSE,FALSE
605,6/18/14,CD,HR,S,Inner,0,6,Bare,TRUE,FALSE,FALSE
605,6/18/14,CD,HR,S,Outer,0,6,Bare,TRUE,FALSE,FALSE
605,6/18/14,CD,HR,W,Inner,0,6,Bare,TRUE,FALSE,FALSE
605,6/18/14,CD,HR,W,Outer,0,6,Bare,TRUE,FALSE,FALSE
606,10/26/14,SM,SF,N,Inner,0.1,10,Bare,TRUE,FALSE,TRUE
606,10/26/14,SM,SF,N,Outer,0.1,10,Bare,TRUE,FALSE,TRUE
606,10/26/14,SM,SF,E,Inner,0.1,10,Bare,TRUE,FALSE,TRUE
606,10/26/14,SM,SF,E,Outer,0.1,10,Bare,TRUE,FALSE,TRUE
606,10/26/14,SM,SF,S,Inner,0.1,10,Bare,TRUE,FALSE,TRUE
606,10/26/14,SM,SF,S,Outer,0.1,10,Bare,TRUE,FALSE,TRUE
606,10/26/14,SM,SF,W,Inner,0.1,10,Bare,TRUE,FALSE,TRUE
606,10/26/14,SM,SF,W,Outer,0.1,10,Bare,TRUE,FALSE,TRUE
606,6/18/14,CD,HR,N,Inner,0,6,Bare,TRUE,FALSE,TRUE
606,6/18/14,CD,HR,N,Outer,0,6,Bare,TRUE,FALSE,TRUE
606,6/18/14,CD,HR,E,Inner,0,6,Bare,TRUE,FALSE,TRUE
606,6/18/14,CD,HR,E,Outer,0,6,Bare,TRUE,FALSE,TRUE
606,6/18/14,CD,HR,S,Inner,0,6,Bare,TRUE,FALSE,TRUE
606,6/18/14,CD,HR,S,Outer,0,6,Bare,TRUE,FALSE,TRUE
606,6/18/14,CD,HR,W,Inner,0,6,Bare,TRUE,FALSE,TRUE
606,6/18/14,CD,HR,W,Outer,0,6,Bare,TRUE,FALSE,TRUE
607,10/26/14,SM,SF,N,Inner,1,10,Fence,FALSE,TRUE,TRUE
607,10/26/14,SM,SF,N,Outer,0,10,Fence,FALSE,TRUE,TRUE
607,10/26/14,SM,SF,E,Inner,0.1,10,Fence,FALSE,TRUE,TRUE
607,10/26/14,SM,SF,E,Outer,0.1,10,Fence,FALSE,TRUE,TRUE
607,10/26/14,SM,SF,S,Inner,1.5,10,Fence,FALSE,TRUE,TRUE
607,10/26/14,SM,SF,S,Outer,0.5,10,Fence,FALSE,TRUE,TRUE
607,10/26/14,SM,SF,W,Inner,3,10,Fence,FALSE,TRUE,TRUE
607,10/26/14,SM,SF,W,Outer,0.5,10,Fence,FALSE,TRUE,TRUE
607,6/18/14,CD,HR,N,Inner,3,6,Fence,FALSE,TRUE,TRUE
607,6/18/14,CD,HR,N,Outer,0.5,6,Fence,FALSE,TRUE,TRUE
607,6/18/14,CD,HR,E,Inner,1,6,Fence,FALSE,TRUE,TRUE
607,6/18/14,CD,HR,E,Outer,0.5,6,Fence,FALSE,TRUE,TRUE
607,6/18/14,CD,HR,S,Inner,3.5,6,Fence,FALSE,TRUE,TRUE
607,6/18/14,CD,HR,S,Outer,2,6,Fence,FALSE,TRUE,TRUE
607,6/18/14,CD,HR,W,Inner,13,6,Fence,FALSE,TRUE,TRUE
607,6/18/14,CD,HR,W,Outer,2,6,Fence,FALSE,TRUE,TRUE
608,10/26/14,SM,SF,N,Inner,0.5,10,Fence,TRUE,TRUE,TRUE
608,10/26/14,SM,SF,N,Outer,0.5,10,Fence,TRUE,TRUE,TRUE
